Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Carrot,97,pieces,Vegetables,Carrot Soup,Soup,Medium,401,48,48,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,60,37
Onion,200,slices,Vegetables,Onion Rings,Snack,Medium,147,13,15,34,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,50,38
Chicken,148,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,391,9,22,14,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,19,91
Broccoli,112,ounces,Vegetables,Broccoli Salad,Lunch,Medium,280,8,49,37,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,36,72
Rice,61,cups,Grains,Tomato Soup,Soup,Medium,429,46,35,10,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,14,45
Tomato,182,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,380,50,32,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,23,49
Spinach,194,slices,Dairy,Rice Pilaf,Snack,Hard,498,7,9,24,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,49,105
Beef,154,grams,Proteins,Beef Stir-Fry,Dinner,Medium,469,16,39,29,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,8,32
Lettuce,167,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,246,16,25,21,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,48,100
Potato,137,cups,Grains,Mashed Potatoes,Side Dish,Medium,311,28,28,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,14,13
Carrot,95,pieces,Vegetables,Carrot Soup,Soup,Medium,370,9,19,50,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,44,66
Onion,167,slices,Vegetables,Onion Rings,Snack,Medium,132,49,10,32,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,10,11
Chicken,92,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,261,24,25,29,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,47,95
Broccoli,189,ounces,Vegetables,Broccoli Salad,Lunch,Medium,375,22,24,25,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,58,52
Rice,63,cups,Grains,Tomato Soup,Soup,Medium,334,24,23,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,8,34
Tomato,198,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,248,36,10,13,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,48,114
Spinach,127,slices,Dairy,Rice Pilaf,Snack,Hard,166,38,47,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,40,62
Beef,179,grams,Proteins,Beef Stir-Fry,Dinner,Medium,310,33,30,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,47,74
Lettuce,188,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,306,7,11,38,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,52,47
Potato,144,cups,Grains,Mashed Potatoes,Side Dish,Medium,234,5,28,38,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,19,32
Carrot,102,pieces,Vegetables,Carrot Soup,Soup,Medium,218,15,39,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,32,92
Onion,117,slices,Vegetables,Onion Rings,Snack,Medium,179,30,49,20,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,44,100
Chicken,119,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,246,18,19,31,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,51,98
Broccoli,112,ounces,Vegetables,Broccoli Salad,Lunch,Medium,288,49,48,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,6,79
Rice,118,cups,Grains,Tomato Soup,Soup,Medium,444,6,40,22,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,34,69
Tomato,101,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,434,38,12,36,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,31,37
Spinach,174,slices,Dairy,Rice Pilaf,Snack,Hard,250,35,23,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,47,45
Beef,198,grams,Proteins,Beef Stir-Fry,Dinner,Medium,238,35,27,31,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,15,82
Lettuce,70,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,216,25,34,45,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,55,107
Potato,64,cups,Grains,Mashed Potatoes,Side Dish,Medium,107,19,48,24,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,14,105
Carrot,83,pieces,Vegetables,Carrot Soup,Soup,Medium,197,45,12,47,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,13,93
Onion,195,slices,Vegetables,Onion Rings,Snack,Medium,179,33,9,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,8,67
Chicken,150,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,104,50,22,7,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,45,37
Broccoli,143,ounces,Vegetables,Broccoli Salad,Lunch,Medium,264,18,16,12,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,42,43
Rice,85,cups,Grains,Tomato Soup,Soup,Medium,336,27,14,18,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,54,103
Tomato,106,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,154,48,42,14,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,54,34
Spinach,198,slices,Dairy,Rice Pilaf,Snack,Hard,491,27,27,18,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,43,98
Beef,82,grams,Proteins,Beef Stir-Fry,Dinner,Medium,298,21,42,18,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,16,26
Lettuce,50,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,301,11,21,34,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,26,96
Potato,75,cups,Grains,Mashed Potatoes,Side Dish,Medium,179,26,9,22,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,49,47
Carrot,125,pieces,Vegetables,Carrot Soup,Soup,Medium,216,46,28,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,9,26
Onion,74,slices,Vegetables,Onion Rings,Snack,Medium,125,39,37,28,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,24,35
Chicken,194,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,323,26,47,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,32,92
Broccoli,117,ounces,Vegetables,Broccoli Salad,Lunch,Medium,387,45,42,30,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,8,72
Rice,159,cups,Grains,Tomato Soup,Soup,Medium,450,26,45,29,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,10,25
Tomato,161,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,287,20,28,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,16,68
Spinach,55,slices,Dairy,Rice Pilaf,Snack,Hard,395,41,47,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,22,112
Beef,109,grams,Proteins,Beef Stir-Fry,Dinner,Medium,145,15,18,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,3,50,49
Lettuce,178,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,480,5,19,36,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,34,56
Potato,88,cups,Grains,Mashed Potatoes,Side Dish,Medium,479,19,6,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,36,120
Carrot,132,pieces,Vegetables,Carrot Soup,Soup,Medium,184,41,44,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,15,36
Onion,168,slices,Vegetables,Onion Rings,Snack,Medium,423,34,19,39,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,1,59,71
Chicken,167,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,178,45,46,29,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,3,21,106
Broccoli,106,ounces,Vegetables,Broccoli Salad,Lunch,Medium,269,48,40,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,16,91
Rice,176,cups,Grains,Tomato Soup,Soup,Medium,383,6,13,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,33,100
Tomato,99,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,477,23,45,29,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,5,13
Spinach,71,slices,Dairy,Rice Pilaf,Snack,Hard,136,26,41,9,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,9,14
Beef,85,grams,Proteins,Beef Stir-Fry,Dinner,Medium,123,5,20,41,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,33,34
Lettuce,79,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,238,38,44,28,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,50,117
Potato,80,cups,Grains,Mashed Potatoes,Side Dish,Medium,401,29,15,24,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,26,35
Carrot,177,pieces,Vegetables,Carrot Soup,Soup,Medium,278,39,17,36,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,29,65
Onion,101,slices,Vegetables,Onion Rings,Snack,Medium,280,38,26,46,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,57,86
Chicken,72,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,330,37,33,36,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,35,111
Broccoli,68,ounces,Vegetables,Broccoli Salad,Lunch,Medium,187,28,36,31,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,41,46
Rice,79,cups,Grains,Tomato Soup,Soup,Medium,318,26,12,45,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,51,86
Tomato,143,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,128,25,13,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,20,104
Spinach,90,slices,Dairy,Rice Pilaf,Snack,Hard,152,46,28,11,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,55,95
Beef,60,grams,Proteins,Beef Stir-Fry,Dinner,Medium,262,32,38,16,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,38,43
Lettuce,98,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,469,17,18,21,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,18,87
Potato,87,cups,Grains,Mashed Potatoes,Side Dish,Medium,180,11,34,17,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,8,41
Carrot,176,pieces,Vegetables,Carrot Soup,Soup,Medium,199,10,20,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,21,111
Onion,52,slices,Vegetables,Onion Rings,Snack,Medium,164,40,42,13,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,11,66
Chicken,144,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,147,32,26,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,13,56
Broccoli,133,ounces,Vegetables,Broccoli Salad,Lunch,Medium,311,6,23,47,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,8,120
Rice,189,cups,Grains,Tomato Soup,Soup,Medium,416,29,17,40,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,16,58
Tomato,87,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,467,49,29,15,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,18,113
Spinach,150,slices,Dairy,Rice Pilaf,Snack,Hard,327,9,47,32,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,56,78
Beef,108,grams,Proteins,Beef Stir-Fry,Dinner,Medium,351,50,32,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,35,73
Lettuce,53,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,348,6,24,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,9,61
Potato,176,cups,Grains,Mashed Potatoes,Side Dish,Medium,167,20,5,39,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,10,51
Carrot,73,pieces,Vegetables,Carrot Soup,Soup,Medium,165,30,42,48,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,15,120
Onion,94,slices,Vegetables,Onion Rings,Snack,Medium,238,15,34,49,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,30,51
Chicken,112,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,261,28,38,50,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,50,66
Broccoli,150,ounces,Vegetables,Broccoli Salad,Lunch,Medium,442,38,15,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,54,32
Rice,61,cups,Grains,Tomato Soup,Soup,Medium,458,7,24,45,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,37,93
Tomato,152,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,116,26,49,37,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,15,75
Spinach,169,slices,Dairy,Rice Pilaf,Snack,Hard,296,23,10,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,22,105
Beef,141,grams,Proteins,Beef Stir-Fry,Dinner,Medium,431,26,26,48,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,43,68
Lettuce,111,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,322,36,43,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,18,43
Potato,107,cups,Grains,Mashed Potatoes,Side Dish,Medium,217,47,21,32,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,4,11,85
Carrot,110,pieces,Vegetables,Carrot Soup,Soup,Medium,289,34,16,25,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,18,50
Onion,170,slices,Vegetables,Onion Rings,Snack,Medium,319,31,15,13,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,24,42
Chicken,82,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,256,48,9,13,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,47,10
Broccoli,73,ounces,Vegetables,Broccoli Salad,Lunch,Medium,416,31,23,35,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,53,84
Rice,77,cups,Grains,Tomato Soup,Soup,Medium,286,23,38,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,15,84
Tomato,134,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,103,45,10,22,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,46,77
Spinach,187,slices,Dairy,Rice Pilaf,Snack,Hard,452,7,33,27,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,10,86
Beef,136,grams,Proteins,Beef Stir-Fry,Dinner,Medium,261,49,24,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,41,69
Lettuce,151,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,357,48,7,29,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,14,119
Potato,194,cups,Grains,Mashed Potatoes,Side Dish,Medium,246,6,29,18,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,48,104
Carrot,50,pieces,Vegetables,Carrot Soup,Soup,Medium,480,11,15,18,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,43,40
Onion,95,slices,Vegetables,Onion Rings,Snack,Medium,285,8,8,30,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,36,62
Chicken,119,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,207,40,22,8,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,37,98
Broccoli,142,ounces,Vegetables,Broccoli Salad,Lunch,Medium,410,50,23,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,16,113
Rice,51,cups,Grains,Tomato Soup,Soup,Medium,365,8,45,6,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,53,81
Tomato,192,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,349,23,38,34,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,16,100
Spinach,67,slices,Dairy,Rice Pilaf,Snack,Hard,444,31,40,39,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,7,95
Beef,147,grams,Proteins,Beef Stir-Fry,Dinner,Medium,184,40,36,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,40,26
Lettuce,137,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,497,12,42,34,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,28,77
Potato,127,cups,Grains,Mashed Potatoes,Side Dish,Medium,472,25,10,5,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,28,90
Carrot,92,pieces,Vegetables,Carrot Soup,Soup,Medium,100,11,30,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,23,20
Onion,71,slices,Vegetables,Onion Rings,Snack,Medium,376,41,9,11,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,39,50
Chicken,94,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,220,8,36,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,49,35
Broccoli,150,ounces,Vegetables,Broccoli Salad,Lunch,Medium,281,26,6,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,12,62
Rice,74,cups,Grains,Tomato Soup,Soup,Medium,390,42,6,34,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,46,42
Tomato,90,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,267,37,49,36,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,29,73
Spinach,64,slices,Dairy,Rice Pilaf,Snack,Hard,387,7,18,40,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,36,41
Beef,186,grams,Proteins,Beef Stir-Fry,Dinner,Medium,355,46,49,50,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,8,74
Lettuce,74,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,484,33,36,19,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,8,90
Potato,154,cups,Grains,Mashed Potatoes,Side Dish,Medium,270,45,39,44,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,17,96
Carrot,173,pieces,Vegetables,Carrot Soup,Soup,Medium,294,21,13,36,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,36,97
Onion,123,slices,Vegetables,Onion Rings,Snack,Medium,124,34,16,34,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,37,59
Chicken,60,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,455,41,45,15,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,16,111
Broccoli,53,ounces,Vegetables,Broccoli Salad,Lunch,Medium,250,6,31,10,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,41,78
Rice,94,cups,Grains,Tomato Soup,Soup,Medium,103,14,47,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,28,46
Tomato,92,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,176,31,40,46,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,54,11
Spinach,71,slices,Dairy,Rice Pilaf,Snack,Hard,267,30,7,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,21,77
Beef,158,grams,Proteins,Beef Stir-Fry,Dinner,Medium,128,9,24,42,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,28,120
Lettuce,134,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,306,37,35,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,5,43
Potato,96,cups,Grains,Mashed Potatoes,Side Dish,Medium,101,39,18,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,41,57
Carrot,158,pieces,Vegetables,Carrot Soup,Soup,Medium,492,50,38,50,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,57,111
Onion,191,slices,Vegetables,Onion Rings,Snack,Medium,271,15,39,22,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,21,66
Chicken,183,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,128,37,30,40,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,43,87
Broccoli,66,ounces,Vegetables,Broccoli Salad,Lunch,Medium,336,46,10,23,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,14,105
Rice,64,cups,Grains,Tomato Soup,Soup,Medium,215,6,5,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,19,107
Tomato,123,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,178,22,37,20,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,23,114
Spinach,122,slices,Dairy,Rice Pilaf,Snack,Hard,208,10,23,44,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,36,14
Beef,171,grams,Proteins,Beef Stir-Fry,Dinner,Medium,467,36,25,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,26,28
Lettuce,86,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,366,20,29,16,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,43,120
Potato,162,cups,Grains,Mashed Potatoes,Side Dish,Medium,305,23,21,19,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,25,22
Carrot,125,pieces,Vegetables,Carrot Soup,Soup,Medium,114,28,21,32,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,4,43,53
Onion,115,slices,Vegetables,Onion Rings,Snack,Medium,234,46,46,38,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,32,71
Chicken,186,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,298,13,25,43,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,53,86
Broccoli,98,ounces,Vegetables,Broccoli Salad,Lunch,Medium,126,9,42,17,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,15,110
